,name,count,capacity,freq,timings,formFactor,type,price,link
110,Kingston Fury Beast KF560C40BBK2-32 ,2,16,6000,40-40-40,"DIMM, 288-pin",DDR5 ,13890,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-6000mhz-kingston-kf560c40bbk2-32-fury-beast-rtl-cl4-1676551/
111,AMD Radeon R7 Performance Series R748G2400U2S-UO ,1,8,2400,16-16-16-36,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2400u2s-uo-ddr4-8g-1007258/
112,Silicon Power SP008GBLFU320B02 ,1,8,3200,?,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-silicon-power-sp008gblfu320b02-rtl-pc4-25600-c-1840489/
113,Patriot Viper Steel PVS416G300C6K ,2,8,3000,16-18-18-36,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g300c6k-ddr4-2x-8gb-3000-dimm-1118311/
114,Kingston Fury Beast KF548C38BBK2-32 ,2,16,4800,38-38-38,"DIMM, 288-pin",DDR5 ,11490,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-4800mhz-kingston-kf548c38bbk2-32-fury-beast-rtl-pc5-1628860/
115,AMD Radeon R7 Performance Series R744G2400S1S-U ,1,4,2400,16-16-16-36,"SO-DIMM, 260-pin",DDR4 ,890,https://www.citilink.ru/product/pamyat-ddr4-4gb-2400mhz-amd-r744g2400s1s-u-radeon-r7-performance-serie-1795561/
116,AMD Radeon R7 Performance Series R748G2400U2S-U ,1,8,2400,16-16-16-36,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2400mhz-amd-r748g2400u2s-u-radeon-r7-performance-serie-1667203/
117,Kingston Fury Beast KF548C38BB-16 ,1,16,4800,38-38-38,"DIMM, 288-pin",DDR5 ,5990,https://www.citilink.ru/product/pamyat-ddr5-16gb-4800mhz-kingston-kf548c38bb-16-fury-beast-rtl-pc5-384-1628859/
118,Patriot Viper 3 PV316G160C9K ,2,8,1600,9-9-9-24,"DIMM, 240-pin",DDR3 ,3790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv316g160c9k-ddr3-2x-8gb-1600-dimm-ret-498702/
119,Patriot Viper Steel PVS48G320C6 ,1,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,1890,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs48g320c6-ddr4-8gb-3200-dimm-ret-1172741/
120,Kingston VALUERAM KVR26N19S8/16 ,1,16,2666,19-19-19,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kvr26n19s8-16-rtl-pc4-21300-cl19-dim-1430186/
121,Silicon Power SP008GBLFU266B02 ,1,8,2666,?,"DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-silicon-power-sp008gblfu266b02-rtl-pc4-21300-c-1840469/
122,Silicon Power SP004GBSFU266N02 ,1,4,2666,?,"SO-DIMM, 260-pin",DDR4 ,1090,https://www.citilink.ru/product/pamyat-ddr4-4gb-2666mhz-silicon-power-sp004gbsfu266n02-rtl-pc4-21300-c-1840468/
123,AMD Radeon R7 Performance Series R744G2133U1S-U ,1,4,2133,15-15-15-35,"DIMM, 288-pin",DDR4 ,790,https://www.citilink.ru/product/pamyat-ddr4-4gb-2133mhz-amd-r744g2133u1s-u-radeon-r7-performance-serie-1795558/
124,Hikvision HKED4082CBA1D0ZA1/8G ,1,8,2666,?,"SO-DIMM, 260-pin",DDR4 ,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-hikvision-hked4082cba1d0za1-8g-oem-pc4-21300-c-1848214/
125,AMD Radeon R7 Performance Series R744G2606U1S-U ,1,4,2666,16-18-18-35,"DIMM, 288-pin",DDR4 ,890,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r744g2606u1s-uo-ddr4-4g-333704/
126,Patriot Viper Steel RGB PVSR432G360C0K ,2,16,3600,20-26-26-46,"DIMM, 288-pin",DDR4 ,8790,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3600mhz-patriot-pvsr432g360c0k-rtl-pc4-24000-cl20-2-1497636/
127,AMD ,1,2,800,6-6-6-18,"DIMM, 240-pin",DDR2 ,1090,https://www.citilink.ru/product/modul-pamyati-amd-ddr2-2gb-800-dimm-ret-1166428/
128,Kingston VALUERAM KVR16N11/8WP ,1,8,1600,11-11-11,"DIMM, 240-pin",DDR3 ,3490,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-kingston-kvr16n11-8wp-rtl-pc3-12800-cl11-dimm-1520958/
129,Kingston VALUERAM KVR16N11S8/4WP ,1,4,1600,11-11-11,"DIMM, 240-pin",DDR3 ,2120,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-kingston-kvr16n11s8-4wp-rtl-pc3-12800-cl11-dim-1520882/
130,KINGSPEC KS1600D3P13504G ,1,4,1600,11-11-11,"DIMM, 240-pin",DDR3L,1030,https://www.citilink.ru/product/pamyat-ddr3l-4gb-1600mhz-kingspec-ks1600d3p13504g-rtl-pc3-12800-dimm-2-1742090/
131,Digma DGMAS31600004S ,1,4,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3L,790,https://www.citilink.ru/product/pamyat-ddr3l-4gb-1600mhz-digma-dgmas31600004s-rtl-pc3-12800-cl11-so-di-1892906/
132,Kingston VALUERAM KVR26S19S6/4 ,1,4,2666,19-19-19,"SO-DIMM, 260-pin",DDR4 ,1590,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26s19s6-4-ddr4-4gb-2666-so-dimm-ret-1107381/
133,AMD Radeon R7 Performance Series R7432G2606U2S-U ,1,32,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,5890,https://www.citilink.ru/product/pamyat-ddr4-32gb-2666mhz-amd-r7432g2606u2s-u-radeon-r7-performance-ser-1777221/
134,Crucial CT8G4SFRA266 ,1,8,2666,19-19-19,"SO-DIMM, 260-pin",DDR4 ,2090,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-crucial-ct8g4sfra266-rtl-pc4-21300-cl19-so-dim-1825003/
135,Kingston VALUERAM KVR32N22S8/16 ,1,16,3200,22-22-22,"DIMM, 288-pin",DDR4 ,3790,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kvr32n22s8-16-rtl-pc4-25600-cl22-dim-1538445/
136,Hikvision HKED3041AAA2A0ZA1/4G ,1,4,1600,?,"DIMM, 240-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-hikvision-hked3041aaa2a0za1-4g-oem-pc3-12800-c-1848219/
137,Kingston Fury Beast Black RGB KF432C16BBA/16 ,1,16,3200,16-20-20,"DIMM, 288-pin",DDR4 ,4490,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16bba-16-fury-beast-black-rgb-1790361/
138,Silicon Power SP008GBSFU266B02 ,1,8,2666,?,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-silicon-power-sp008gbsfu266b02-rtl-pc4-21300-c-1840477/
139,A-Data AD4S32008G22-SGN ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-a-data-ad4s32008g22-sgn-rtl-pc4-25600-cl22-so-1738815/
140,Silicon Power SP004GBLTU160N02 ,1,4,1600,?,"DIMM, 240-pin",DDR3 ,890,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-silicon-power-sp004gbltu160n02-rtl-pc3-12800-c-1840165/
141,Patriot Viper Steel RGB PVSR416G320C8K ,2,8,3200,18-22-22-42,"DIMM, 288-pin",DDR4 ,4690,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-patriot-pvsr416g320c8k-rtl-pc4-25600-cl18-di-1471149/
142,Kingston VALUERAM KVR26N19S6/4 ,1,4,2666,19-19-19,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s6-4-ddr4-4gb-2666-dimm-ret-1107365/
143,Patriot Viper Steel PVS416G400C6K ,2,8,4000,16-16-16-36,"DIMM, 288-pin",DDR4 ,8690,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-4000mhz-patriot-pvs416g400c6k-viper-steel-rtl-pc4-32-1639870/
144,Kingston Fury Beast KF556C40BB-16 ,1,16,5600,40-40-40,"DIMM, 288-pin",DDR5 ,5790,https://www.citilink.ru/product/pamyat-ddr5-16gb-5600mgc-kingston-kf556c40bb-16-fury-beast-rtl-pc5-416-1676547/
145,Kingston VALUERAM KVR32S22S8/16 ,1,16,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,3590,https://www.citilink.ru/product/pamyat-ddr4-32gb-3200mhz-kingston-kvr32s22s8-16-rtl-pc4-23400-cl19-so-1538473/
146,AMD R538G1601U2SL-U ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3L,2700,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-amd-r538g1601u2sl-u-rtl-pc3-12800-cl11-long-di-1473461/
147,Patriot Viper 3 PV38G160C9K ,2,4,1600,9-9-9-24,"DIMM, 240-pin",DDR3 ,2290,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv38g160c9k-ddr3-2x-4gb-1600-dimm-ret-390677/
148,Corsair Vengeance LPX CMK32GX4M2E3200C16 ,2,16,3200,16-20-20-38,"DIMM, 288-pin",DDR4 ,9490,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-5200mhz-corsair-cmk32gx4m2e3200c16-vengeance-rtl-pc-1812083/
149,Patriot Viper Steel PVS432G360C8K ,2,16,3600,18-22-22-42,"DIMM, 288-pin",DDR4 ,7890,https://www.citilink.ru/product/pamyat-ddr4-32gb-3600mhz-patriot-pvs432g360c8k-rtl-pc4-28800-cl18-288-1495492/
150,Hikvision HKED4161CAB2F1ZB1/16G ,1,16,3200,?,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-hikvision-hked4161cab2f1zb1-16g-oem-pc4-25600-1848210/
151,AMD Radeon R7 Performance Series R744G2606S1S-U ,1,4,2666,16-18-18-35,"SO-DIMM, 260-pin",DDR4 ,790,https://www.citilink.ru/product/pamyat-ddr4-4gb-2666mhz-amd-r744g2606s1s-u-radeon-r7-performance-serie-1777078/
152,A-Data Premier AD4U320016G22-SGN ,1,16,3200,?,"DIMM, 288-pin",DDR4 ,3190,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-a-data-ad4u320016g22-sgn-premier-rtl-pc4-2560-1889528/
153,Patriot Signature PSD416G320081 ,1,16,3200,22-22-22-52,"DIMM, 288-pin",DDR4 ,3090,https://www.citilink.ru/product/modul-pamyati-patriot-psd416g320081-1483227/
154,Digma DGMAD43200016S ,1,16,3200,22-22-22-52,"DIMM, 288-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-digma-dgmad43200016s-rtl-pc4-25600-cl22-dimm-1784392/
155,Patriot Viper 4 Blackout PVB432G320C6K ,2,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,6990,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3200mhz-patriot-pvb432g320c6k-rtl-pc4-25600-cl16-di-1396312/
156,Silicon Power SP016GBLFU266B02 ,1,16,2666,?,"DIMM, 288-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-silicon-power-sp016gblfu266b02-rtl-pc4-21300-1840471/
157,AMD R9 R9416G3206S2S-U ,1,16,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,2590,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-amd-r9416g3206s2s-u-rtl-pc4-19200-cl16-so-dim-1517341/
158,Patriot Signature PSD44G240081S ,1,4,2400,17-17-17-39,"SO-DIMM, 260-pin",DDR4 ,949,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g240081s-ddr4-4gb-2400-so-dimm-re-1082699/
159,KINGSPEC KS3200D4P12032G ,1,32,3200,?,"DIMM, 288-pin",DDR4 ,6190,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingspec-ks3200d4p12032g-rtl-long-dimm-288-pi-1742113/
160,NETAC Basic NTBSD4P26SP-16 ,1,16,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,2690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-netac-ntbsd4p26sp-16-basic-rtl-cl19-dimm-288-1740122/
161,Patriot Signature PSD44G266681S ,1,4,2666,19-19-19-39,"SO-DIMM, 260-pin",DDR4 ,990,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g266681s-ddr4-4gb-2666-so-dimm-re-1417054/
162,AMD R9 R9416G3206U2S-U ,1,16,3200,16-18-18-39,"DIMM, 260-pin",DDR4 ,3190,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-amd-r9416g3206u2s-u-r9-rtl-pc4-25600-cl16-dim-1886248/
163,KINGSPEC KS2666D4N12016G ,1,16,2666,?,"SO-DIMM, 260-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingspec-ks2666d4n12016g-rtl-so-dimm-204-pin-1742122/
164,Kingston Fury Impact KF426S15IB/8 ,1,8,2666,15-17-17,"SO-DIMM, 260-pin",DDR4 ,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingston-kf426s15ib-8-rtl-pc4-21300-cl15-so-di-1560742/
165,Kingston Fury Beast Black KF436C18BB/16 ,1,16,3600,18-22-22,"DIMM, 288-pin",DDR4 ,4290,https://www.citilink.ru/product/pamyat-ddr4-16gb-3600mhz-kingston-kf436c18bb-16-rtl-pc4-28800-cl18-dim-1560752/
166,Kingston Fury Impact KF432S20IBK2/16 ,2,8,3200,20-22-22,"SO-DIMM, 260-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432s20ibk2-16-fury-impact-rtl-pc4-1783686/
167,Patriot Viper 4 Blackout PVB416G300C6K ,2,8,3000,16-18-18-36,"DIMM, 288-pin",DDR4 ,3790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-4-blackout-pvb416g300c6k-ddr4-2x-8gb-3000-1210868/
168,Kingston Fury Beast Black KF437C19BBK2/16 ,2,8,3733,19-23-23,"DIMM, 288-pin",DDR4 ,4490,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3733mhz-kingston-kf437c19bbk2-16-rtl-cl19-dimm-288-p-1560213/
169,AMD Radeon R9 Gamer Series R948G3206S2S-U ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-amd-r948g3206s2s-u-radeon-r9-gamer-series-rtl-1874129/
170,Digma DGMAD42666008S ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-digma-dgmad42666008s-rtl-pc4-21300-cl19-dimm-2-1784364/
171,Kingston Fury Beast Black KF426C16BB1/16 ,1,16,2666,16-18-18,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kf426c16bb1-16-rtl-pc4-21300-cl16-di-1561173/
172,AMD Radeon R7 Performance Series R748G2606U2S-UO ,1,8,2666,16-18-18-35,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2606u2s-uo-ddr4-8g-1085015/
173,AMD R3 Value R334G1339U1S-U ,1,4,1333,9-9-9-24,"DIMM, 240-pin",DDR3 ,690,https://www.citilink.ru/product/pamyat-ddr3-4gb-1333mhz-amd-r334g1339u1s-u-rtl-pc3-10600-cl9-dimm-240-1667204/
174,Corsair Vengeance LPX CMK16GX4M1A2666C16 ,1,16,2666,16-18-18-35,"DIMM, 288-pin",DDR4 ,5700,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m1a2666c16-ddr4-16gb-2666-352485/
175,NETAC Basic NTBSD4N32SP-08 ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-netac-ntbsd4n32sp-08-basic-oem-cl22-so-dimm-26-1740130/
176,Patriot Signature PSP48G320081H1 ,1,8,3200,22-22-22-52,"DIMM, 288-pin",DDR4 ,1690,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psp48g320081h1-ddr4-8gb-3200-dimm-ret-1460395/
177,Patriot Viper Elite II PVE2416G400C0K ,2,8,4000,20-26-26-46,"DIMM, 288-pin",DDR4 ,4590,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-4000mhz-patriot-pve2416g400c0k-rtl-pc4-32000-cl20-di-1555018/
178,Patriot Viper 3 PV316G160C0K ,2,8,1600,10-10-10-27,"DIMM, 240-pin",DDR3 ,3590,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv316g160c0k-ddr3-2x-8gb-1600-dimm-ret-402239/
179,Patriot Viper Steel RGB PVSR432G320C8K ,2,16,3200,18-22-22-42,"DIMM, 288-pin",DDR4 ,7590,https://www.citilink.ru/product/modul-pamyati-patriot-pvsr432g320c8k-1483228/
180,Kingston Fury Impact KF426S15IB1/16 ,1,16,2666,15-17-17,"SO-DIMM, 260-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kf426s15ib1-16-rtl-pc4-21300-cl15-so-1561174/
181,Patriot Viper Steel PVS416G360C7K ,2,8,3600,17-19-19-39,"DIMM, 288-pin",DDR4 ,4790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g360c7k-ddr4-2x-8gb-3600-dimm-1134494/
182,Patriot Signature PSD416G26662 ,1,16,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd416g26662-ddr4-16gb-2666-dimm-ret-1077812/
183,Kingston Fury Impact KF426S15IBK2/16 ,2,8,2666,15-17-17,"SO-DIMM, 260-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-2666mhz-kingston-kf426s15ibk2-16-fury-impact-rtl-pc4-1783700/
184,NETAC Shadow NTSDD4P32SP-16Y ,1,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,3490,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-netac-ntsdd4p32sp-16y-shadow-rtl-pc4-25600-cl-1810006/
185,Kingston Fury Renegade Black KF432C16RB1/16 ,1,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4090,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16rb1-16-rtl-pc4-25600-cl16-di-1560165/
186,Patriot Signature PSD416G26662S ,1,16,2666,19-19-19-43,"SO-DIMM, 260-pin",DDR4 ,2890,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd416g26662s-ddr4-16gb-2666-so-dimm-r-1183209/
187,Patriot Viper 4 Blackout PVB416G360C8K ,2,8,3600,18-22-22-42,"DIMM, 288-pin",DDR4 ,4290,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-patriot-pvb416g360c8k-viper-4-blackout-rtl-p-1790717/
188,KINGSPEC KS3200D4P12004G ,1,4,3200,?,"DIMM, 288-pin",DDR4 ,1090,https://www.citilink.ru/product/pamyat-ddr4-4gb-3200mhz-kingspec-ks3200d4p12004g-rtl-long-dimm-288-pin-1742105/
189,Hikvision HKED4081CAB2F1ZB1/8G ,1,8,3200,?,"DIMM, 288-pin",DDR4 ,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-hikvision-hked4081cab2f1zb1-8g-oem-pc4-25600-c-1848208/
190,Patriot Viper 4 Blackout PVB432G360C8K ,2,16,3600,18-22-22-42,"DIMM, 288-pin",DDR4 ,7190,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3600mhz-patriot-pvb432g360c8k-viper-4-blackout-rtl-1790718/
191,Patriot Viper Steel PVS416G240C5S ,1,16,2400,15-15-15-35,"SO-DIMM, 260-pin",DDR4 ,3390,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g240c5s-ddr4-16gb-2400-so-dimm-1185084/
192,Patriot Signature PSD416G240081 ,1,16,2400,17-17-17-39,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2400mhz-patriot-psd416g240081-rtl-pc4-19200-cl19-dimm-1422052/
193,Kingston Fury Renegade RGB KF432C16RBAK2/16 ,2,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4990,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432c16rbak2-16-rtl-pc4-25600-cl16-1560862/
194,Digma DGMAS43200016S ,1,16,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,2790,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-digma-dgmas43200016s-rtl-pc4-25600-cl22-so-di-1784389/
195,A-Data Premier AD4U266616G19-RGN ,1,16,2666,19-19-19,"DIMM, 288-pin",DDR4 ,3390,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-a-data-ad4u266616g19-rgn-rtl-pc4-25600-cl19-d-1839864/
196,Patriot Viper Steel PVS464G360C8K ,2,32,3600,18-22-22-42,"DIMM, 288-pin",DDR4 ,13490,https://www.citilink.ru/product/modul-pamyati-patriot-pvs464g360c8k-1483233/
197,Corsair Vengeance LPX CMK8GX4M1D3000C16 ,1,8,3000,16-20-20-38,"DIMM, 288-pin",DDR4 ,2690,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk8gx4m1d3000c16-ddr4-8gb-3000-di-1050643/
198,Silicon Power SP016GBLFU240B02 ,1,16,2400,?,"DIMM, 288-pin",DDR4 ,3190,https://www.citilink.ru/product/pamyat-ddr4-16gb-2400mhz-silicon-power-sp016gblfu240b02-rtl-pc3-19200-1840487/
199,NETAC Basic NTBSD4N26SP-16 ,1,16,2666,19-19-19-43,"SO-DIMM, 260-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-netac-ntbsd4n26sp-16-basic-oem-cl19-so-dimm-2-1740129/
200,NETAC Basic NTBSD3N16SP-04 ,1,4,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3L,790,https://www.citilink.ru/product/pamyat-ddr3l-4gb-1600mhz-netac-ntbsd3n16sp-04-basic-oem-cl11-so-dimm-2-1740134/
201,A-Data AD4U32008G22-BGN ,1,8,3200,?,"DIMM, 288-pin",DDR4 ,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-a-data-ad4u32008g22-bgn-rtl-cl22-dimm-288-pin-1731685/
202,A-Data AD4S320016G22-RGN ,1,16,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,3290,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-a-data-ad4s320016g22-rgn-rtl-pc4-25600-cl22-s-1769574/
203,Patriot Viper Elite II PVE2416G400C0 ,1,16,4000,20-26-26-46,"DIMM, 288-pin",DDR4 ,4090,https://www.citilink.ru/product/pamyat-ddr4-16gb-4000mhz-patriot-pve2416g400c0-rtl-pc4-32000-cl20-dimm-1555015/
204,AMD Radeon R7 Performance Series R748G2606S2S-UO ,1,8,2666,16-18-18-35,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-amd-r748g2606s2s-uo-oem-pc4-19200-cl16-so-dimm-1411916/
205,Patriot Viper EliteII PVE2432G266C6K ,2,16,2666,16-17-17-36,"DIMM, 288-pin",DDR4 ,6790,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-2666mhz-patriot-pve2432g266c6k-viper-eliteii-rtl-pc-1604414/
206,Digma DGMAD42666016S ,1,16,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,2690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-digma-dgmad42666016s-rtl-pc4-21300-cl19-dimm-1784388/
207,Patriot PSD44G213382 ,1,4,2133,?,"DIMM, 288-pin",DDR4 ,1090,https://www.citilink.ru/product/modul-pamyati-patriot-psd44g213382-ddr4-4gb-2133-dimm-ret-431133/
208,Kingston VALUERAM KVR32N22S8/8 ,1,8,3200,22-22-22,"DIMM, 288-pin",DDR4 ,1890,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kvr32n22s8-8-rtl-pc4-24000-cl22-dimm-1403748/
209,Kingston Fury Beast Black KF426C16BB/16 ,1,16,2666,16-18-18,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kf426c16bb-16-rtl-pc4-21300-cl16-dim-1560736/
210,Patriot Viper Steel PVS416G360C8 ,1,16,3600,18-22-22-42,"DIMM, 288-pin",DDR4 ,3790,https://www.citilink.ru/product/pamyat-ddr4-16gb-3600mhz-patriot-pvs416g360c8-rtl-pc4-28800-cl19-dimm-1521008/
211,Patriot Viper Steel PVS416G400C9K ,2,8,4000,19-19-19-39,"DIMM, 288-pin",DDR4 ,6390,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g400c9k-ddr4-2x-8gb-4000-dimm-1118408/
212,Kingston Fury Renegade Black KF426C13RB1K2/32 ,2,16,2666,13-15-15,"DIMM, 288-pin",DDR4 ,7790,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-2666mhz-kingston-kf426c13rb1k2-32-rtl-pc3-21300-cl1-1560745/
213,Patriot Viper Steel PVS416G373C7K ,2,8,3733,17-21-21-41,"DIMM, 288-pin",DDR4 ,4490,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g373c7k-ddr4-2x-8gb-3733-dimm-1148364/
214,Patriot Steel Series PVS416G320C8S ,1,16,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-patriot-pvs416g320c8s-steel-series-rtl-pc4-25-1780802/
215,Crucial CT16G4DFRA266 ,1,16,2666,19-19-19,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-crucial-ct16g4dfra266-rtl-pc4-21300-cl19-dimm-1824998/
216,Patriot Viper Steel PVS48G300C6 ,1,8,3000,16-18-18-36,"DIMM, 288-pin",DDR4 ,2090,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs48g300c6-ddr4-8gb-3000-dimm-ret-1148373/
217,Patriot Viper Steel PVS416G360C8K ,2,8,3600,18-22-22-42,"DIMM, 288-pin",DDR4 ,4290,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-patriot-pvs416g360c8k-rtl-pc4-28800-cl18-dim-1426453/
218,Patriot Signature PSD416G320081S ,1,16,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-patriot-psd416g320081s-signature-rtl-cl19-so-1790719/
